timestamp,open,high,low,close,volume
2021:04:19 05:00:00,56951.86,56965.3,56410.68,56500.0,2456.7527
2021:04:19 06:00:00,56500.01,57339.8,56500.0,57249.99,2761.0833
2021:04:19 07:00:00,57249.99,57485.46,57020.3,57323.35,3296.9573
2021:04:19 08:00:00,57323.34,57526.81,56750.89,56778.8,4559.233
2021:04:19 09:00:00,56778.8,57098.86,56574.76,56681.9,3806.8447
2021:04:19 10:00:00,56681.9,56785.5,56120.03,56522.65,4638.641
2021:04:19 11:00:00,56522.65,57323.99,56462.0,57107.4,3461.9915
2021:04:19 12:00:00,57107.41,57142.2,56443.27,56515.7,2616.4382
2021:04:19 13:00:00,56515.7,56783.36,56002.56,56630.91,4129.6333
2021:04:19 14:00:00,56630.9,56635.1,55073.39,55439.86,7232.541
2021:04:19 15:00:00,55439.86,55475.3,54221.58,54585.22,6961.913
2021:04:19 16:00:00,54581.82,55554.0,54351.67,54826.99,4996.3574
2021:04:19 17:00:00,54826.99,55491.64,54560.53,55369.68,2626.42
2021:04:19 18:00:00,55369.68,55826.49,55300.31,55635.03,2181.1592
2021:04:19 19:00:00,55635.03,56100.0,55387.25,55930.94,2219.5842
2021:04:19 20:00:00,55930.94,56410.0,55750.0,56130.02,2160.199
2021:04:19 21:00:00,56130.02,56600.0,55678.63,56245.2,1789.1079
2021:04:19 22:00:00,56245.2,56348.05,55795.95,55993.56,1428.6766
2021:04:19 23:00:00,55993.56,56199.74,55517.45,55633.14,2192.8
2021:04:20 00:00:00,55633.14,55792.15,54328.78,54631.29,5959.821
2021:04:20 01:00:00,54631.29,55378.42,54237.04,54764.12,3262.7642
2021:04:20 04:00:00,54764.13,55350.28,54567.79,55258.63,1818.0623
2021:04:20 05:00:00,55258.64,55486.31,54691.87,54950.04,2658.6174
2021:04:20 06:00:00,54950.04,55189.97,53501.01,53856.35,4276.743
2021:04:20 07:00:00,53856.36,54431.04,53329.96,54410.57,3889.6536
2021:04:20 08:00:00,54410.57,55313.9,54230.38,55220.29,3227.006
2021:04:20 09:00:00,55220.3,55433.4,54781.59,54889.16,2858.5535
2021:04:20 10:00:00,54889.15,56239.31,54824.81,55908.52,4372.3223
2021:04:20 11:00:00,55908.52,56419.13,55680.64,56266.83,2774.0605
2021:04:20 12:00:00,56266.83,56290.31,55604.73,55801.14,2705.9443
2021:04:20 13:00:00,55801.13,56320.55,55693.69,56317.99,2723.867
2021:04:20 14:00:00,56318.0,56455.93,55200.0,55336.14,4285.5444
2021:04:20 15:00:00,55336.14,55567.87,54649.58,55323.19,3870.6633
2021:04:20 16:00:00,55323.18,55798.28,55099.63,55784.86,3801.773
2021:04:20 17:00:00,55784.86,55935.0,55465.15,55871.72,2436.8677
2021:04:20 18:00:00,55871.72,56500.0,55707.69,56253.81,3648.741
2021:04:20 19:00:00,56254.98,56782.0,56176.02,56572.44,3592.8147
2021:04:20 20:00:00,56572.44,57076.24,56347.84,56725.0,3872.7588
2021:04:20 21:00:00,56725.01,57020.77,56424.25,57020.76,2491.5676
2021:04:20 22:00:00,57020.76,57050.0,56090.0,56380.0,2308.191
2021:04:20 23:00:00,56380.0,56573.54,56177.97,56425.0,1908.145
2021:04:21 00:00:00,56425.0,56757.91,55582.08,55679.99,3033.1116
2021:04:21 01:00:00,55679.99,56205.88,55332.96,56044.2,3248.1157
2021:04:21 02:00:00,56044.75,56300.0,55894.95,56109.73,1681.6538
2021:04:21 03:00:00,56109.72,56171.39,55170.61,55204.6,2739.027
2021:04:21 04:00:00,55204.6,55559.35,54968.69,55386.31,2542.3884
2021:04:21 05:00:00,55386.3,55660.0,55058.54,55408.89,2104.5442
2021:04:21 06:00:00,55406.1,55822.77,55140.17,55559.57,2166.768
2021:04:21 07:00:00,55559.58,55717.11,55158.31,55304.04,1874.2489
2021:04:21 08:00:00,55304.04,55670.0,54757.63,55445.49,2693.6467
2021:04:21 09:00:00,55445.48,55750.0,55279.57,55570.01,1796.5222
2021:04:21 10:00:00,55570.0,55597.49,54801.25,54916.83,3143.873
2021:04:21 11:00:00,54916.83,55194.69,54276.85,54563.37,3810.8584
2021:04:21 12:00:00,54563.36,55550.0,54300.0,55433.39,3958.925
2021:04:21 13:00:00,55433.39,55690.0,55284.34,55569.31,2339.2905
2021:04:21 14:00:00,55569.31,56333.0,55217.22,56182.11,3729.529
2021:04:21 15:00:00,56182.12,56346.7,55810.0,56153.75,3209.721
2021:04:21 16:00:00,56149.93,56339.98,55631.26,55743.81,2847.012
2021:04:21 17:00:00,55743.82,55819.52,55405.0,55526.01,2087.569
2021:04:21 18:00:00,55526.0,55610.9,55129.0,55306.35,1975.145
2021:04:21 19:00:00,55306.34,55738.14,55306.34,55478.7,1644.9468
2021:04:21 20:00:00,55478.7,55481.16,54777.0,54956.93,2590.8877
2021:04:21 21:00:00,54956.93,55378.43,54678.82,54745.78,2222.2874
2021:04:21 22:00:00,54749.82,55030.0,53770.0,53996.73,5969.674
2021:04:21 23:00:00,53996.73,54337.93,53536.02,53787.63,3575.011
2021:04:22 00:00:00,53787.62,54275.48,53200.0,54070.0,4850.9946
2021:04:22 01:00:00,54070.0,54638.0,53901.0,53911.88,2802.4075
2021:04:22 02:00:00,53911.88,53958.56,52561.0,53760.82,8567.79
2021:04:22 03:00:00,53760.81,54150.0,53200.0,53497.09,4439.766
2021:04:22 04:00:00,53494.63,54356.79,53450.0,54271.67,3142.3286
2021:04:22 05:00:00,54271.68,54621.67,54012.98,54457.72,2655.5686
2021:04:22 06:00:00,54457.73,54850.0,54252.38,54457.46,2858.8057
2021:04:22 07:00:00,54457.46,54597.0,54096.08,54144.99,2482.313
2021:04:22 08:00:00,54146.01,54254.5,53080.0,53652.0,4910.161
2021:04:22 09:00:00,53652.0,54350.0,53249.02,54303.92,3317.6685
2021:04:22 10:00:00,54303.93,54444.0,53879.07,53899.71,2761.482
2021:04:22 11:00:00,53901.46,55223.0,53891.21,54866.62,4204.4995
2021:04:22 12:00:00,54866.63,55521.48,54726.34,54990.48,4357.2505
2021:04:22 13:00:00,54990.49,55280.0,54391.56,54419.13,3368.233
2021:04:22 14:00:00,54419.13,54861.08,54378.29,54744.24,2611.5479
2021:04:22 15:00:00,54744.24,54843.24,54310.04,54651.64,2376.6975
